label,path,features
low,../../data/snsd/generated/noise_low/clnsp0-low.wav,"[[-6.90935303e+02 -6.36452698e+02 -5.70976257e+02 ... -3.97057892e+02
  -4.13243530e+02 -4.53593872e+02]
 [ 6.32084503e+01  7.76189880e+01  6.10082169e+01 ... -4.55869007e+00
   1.84600620e+01  4.36445503e+01]
 [ 3.61868629e+01  1.89309807e+01  8.14496231e+00 ...  7.39471054e+00
   1.54235475e-02 -1.05678654e+01]
 ...
 [ 2.68250513e+00  2.49042892e+00  4.94786799e-01 ...  1.27707076e+00
  -4.86802244e+00 -7.02578545e+00]
 [ 1.36212790e+00  5.89859533e+00 -1.66442823e+00 ... -2.26639724e+00
  -3.30843759e+00 -5.71600723e+00]
 [ 1.02851021e+00  2.78255153e+00 -2.12591076e+00 ...  4.03020000e+00
   1.21020508e+00  5.38260078e+00]]"
low,../../data/snsd/generated/noise_low/clnsp1-low.wav,"[[-3.5894122e+02 -2.9820203e+02 -2.8432361e+02 ... -3.6429276e+02
  -4.2341989e+02 -4.7598746e+02]
 [ 1.3910927e+02  1.3650067e+02  1.1329591e+02 ...  5.4269920e+01
   5.9810295e+01  6.4200226e+01]
 [-3.2776330e+00 -1.5073640e+01 -7.0690551e+00 ... -2.3790716e+01
  -2.6013447e+01 -1.2631084e+01]
 ...
 [ 9.8974276e-01 -7.3740263e+00 -8.1367493e+00 ... -5.4241271e+00
  -1.4333855e+01 -1.8742258e+01]
 [-1.7751247e-01 -3.8607721e+00 -6.6971331e+00 ...  2.4809680e+00
   1.5202825e+00 -2.0056129e+00]
 [-3.2935840e-01  6.3058324e+00  5.6922355e+00 ...  1.2191795e+00
   2.3130147e+00  8.2838783e+00]]"
low,../../data/snsd/generated/noise_low/clnsp10-low.wav,"[[-5.9971436e+02 -5.7712402e+02 -5.7286975e+02 ... -5.2728180e+02
  -5.7122095e+02 -6.0390173e+02]
 [ 7.1241127e+01  6.9877014e+01  6.8875641e+01 ...  7.2617310e+01
   4.7842064e+01  4.5392418e+01]
 [ 1.2130008e+01 -1.0253531e+00 -6.9967308e+00 ... -2.2931980e+01
  -1.8081417e+01 -7.7511950e+00]
 ...
 [ 1.5483160e+01  8.4619312e+00  3.7103856e+00 ... -2.4912934e+00
   1.4084202e+00 -3.1730825e-01]
 [ 6.8424892e+00  4.9724216e+00  6.1253228e+00 ... -2.1821795e+00
   2.2191305e+00  5.6208096e+00]
 [-3.2275510e+00 -2.6250143e+00  3.3640370e+00 ...  3.6869543e+00
   2.2942395e+00  4.2372370e+00]]"
low,../../data/snsd/generated/noise_low/clnsp100-low.wav,"[[-4.06011688e+02 -2.28197800e+02 -1.85397079e+02 ... -3.65476929e+02
  -4.21011993e+02 -4.83641571e+02]
 [ 9.96351929e+01  7.45866394e+01  6.34080353e+01 ...  1.40047104e+02
   1.12099998e+02  9.59807739e+01]
 [-1.27652178e+01 -3.10677872e+01 -4.12149773e+01 ... -4.30899811e+01
  -4.48330307e+00  6.69900894e+00]
 ...
 [-1.67865813e+00 -1.86512077e+00 -4.16547823e+00 ... -6.03343010e+00
  -3.87205005e+00 -2.02196527e+00]
 [-5.21590889e-01 -8.82227802e+00 -1.11718645e+01 ... -1.09823866e+01
  -5.34609699e+00  2.96473861e+00]
 [ 4.12625968e-02 -1.24214411e+00  1.21198225e+00 ... -3.80032206e+00
  -1.17067432e+00  2.46681356e+00]]"
low,../../data/snsd/generated/noise_low/clnsp1000-low.wav,"[[-6.2232660e+02 -6.0353467e+02 -5.4728314e+02 ... -4.0793182e+02
  -3.9885773e+02 -4.9245178e+02]
 [ 4.2015221e+01  5.5536034e+01  4.7888229e+01 ...  8.5961266e+00
   4.5597916e+01  7.0723938e+01]
 [ 2.7768318e+01  2.1407173e+01  7.2239437e+00 ...  8.7648716e+00
   1.0096520e+01  1.1083267e+01]
 ...
 [ 3.0861101e+00  6.7444324e+00  6.4889917e+00 ... -2.2018044e+00
  -1.6635690e+00 -7.5086290e-01]
 [ 1.2949488e-01  6.5011330e+00  7.1256652e+00 ... -3.3758130e+00
  -1.4005023e+00  4.1404253e-01]
 [-2.8713164e+00  3.1877227e+00 -4.0063566e-01 ... -1.0844858e+00
  -1.5037882e+00  7.5008631e-02]]"
low,../../data/snsd/generated/noise_low/clnsp1001-low.wav,"[[-3.64516052e+02 -2.72600739e+02 -2.40881058e+02 ... -4.13436737e+02
  -4.14063049e+02 -4.15214447e+02]
 [ 9.89364395e+01  1.29757507e+02  1.13170105e+02 ...  1.45723755e+02
   1.37836395e+02  1.30705109e+02]
 [-9.04365730e+00 -1.70061874e+01 -7.29578590e+00 ...  4.53090668e+00
  -2.00940800e+00 -1.76260395e+01]
 ...
 [-8.02775979e-01 -1.71987355e-01 -6.52366757e-01 ...  5.33726978e+00
   4.26805687e+00  6.13537312e+00]
 [-4.05944157e+00 -7.76861048e+00 -5.58250523e+00 ...  9.82910919e+00
   1.04480371e+01  1.03639460e+01]
 [-4.63692236e+00 -6.93215609e+00 -4.84314585e+00 ... -3.92861128e+00
   1.19995987e+00  6.69160175e+00]]"
low,../../data/snsd/generated/noise_low/clnsp1002-low.wav,"[[-5.7008844e+02 -5.8294977e+02 -6.0424139e+02 ... -3.8557077e+02
  -3.9724890e+02 -3.9468210e+02]
 [ 3.5059536e+01  3.8955643e+01  3.4449409e+01 ...  3.3941246e+01
   3.1604771e+01  2.9373348e+01]
 [ 1.9643199e+00  1.6692963e+01  2.1140743e+01 ... -9.3165359e+00
   3.6637487e+00  8.9211636e+00]
 ...
 [ 4.2485418e+00 -2.6461627e+00 -6.2144890e+00 ... -6.1645250e+00
  -4.5574026e+00 -1.8371260e+00]
 [ 3.9592953e+00 -1.8563511e+00 -4.2674322e+00 ... -4.6924524e+00
  -4.8920441e+00 -1.0160831e+01]
 [ 5.8795559e-01 -4.8663175e-01 -6.4138305e-01 ...  4.0429468e+00
   4.4765091e+00 -2.3373239e+00]]"
low,../../data/snsd/generated/noise_low/clnsp1003-low.wav,"[[-3.8526901e+02 -3.4686514e+02 -2.8606708e+02 ... -3.5951981e+02
  -3.5994885e+02 -3.7058359e+02]
 [ 1.1247817e+02  1.1856148e+02  1.4872823e+02 ...  9.9015907e+01
   1.0293905e+02  1.0877881e+02]
 [-1.2184681e+01 -8.6797276e+00 -3.7602901e+01 ... -2.1477753e+01
  -1.8144222e+01 -1.5421856e+01]
 ...
 [ 3.3965644e-01 -7.1006835e-01  1.2134461e+00 ... -7.1244483e+00
  -6.5789051e+00 -3.7884507e+00]
 [-5.8623838e+00 -3.8884902e+00  2.2686653e+00 ... -7.6038213e+00
  -2.7783113e+00  7.0437372e-01]
 [ 2.7977026e+00  4.5818731e-02 -4.3600956e-01 ... -3.0334241e+00
  -4.6485152e+00 -3.2548773e+00]]"
low,../../data/snsd/generated/noise_low/clnsp1004-low.wav,"[[-4.39092407e+02 -4.15893402e+02 -4.15085602e+02 ... -3.92281647e+02
  -3.93106384e+02 -4.20436829e+02]
 [ 1.27925079e+02  1.27219284e+02  1.20838173e+02 ...  1.14867340e+02
   1.09239571e+02  1.18418045e+02]
 [ 1.00905895e+01  1.18633595e+01  1.69847298e+01 ...  5.64351857e-01
   1.87855339e+01  1.93723488e+01]
 ...
 [-1.61587822e+00 -1.78523374e+00 -5.87648392e+00 ... -1.16076145e+01
  -6.02002621e+00 -9.95376825e-01]
 [ 3.80531096e+00  1.04162002e+00  4.74746823e-02 ... -1.99531794e+00
   3.70371485e+00  9.79129601e+00]
 [ 3.04189396e+00 -1.24198520e+00 -6.64605093e+00 ... -6.02402210e+00
   4.35709834e-01  8.30771327e-02]]"
low,../../data/snsd/generated/noise_low/clnsp1005-low.wav,"[[-4.4816464e+02 -3.4300259e+02 -3.1145419e+02 ... -3.9089807e+02
  -4.5815344e+02 -5.3565631e+02]
 [ 1.6881595e+02  1.7125011e+02  1.4852771e+02 ...  1.0919667e+02
   1.0648072e+02  1.0719144e+02]
 [ 1.0228533e+01 -7.8681970e-01 -1.0298946e+01 ... -9.3948689e+00
  -4.4196835e+00 -1.0632240e+00]
 ...
 [ 2.8997138e+00  7.1931410e+00  1.5265450e+01 ...  6.0681338e+00
  -4.1724262e+00 -3.9005587e+00]
 [-7.6218486e+00 -1.6849566e+00  4.3317661e+00 ...  2.8511586e+00
  -1.2210591e+00  6.8847644e-01]
 [-4.6983781e-01  1.4557586e+00  6.1399817e-01 ...  4.2590628e+00
   3.1715667e+00  7.3902929e-01]]"
